Player_ID,First Name,Last Name,Date of Birth,Nationality,Height (cm),Weight (kg),Preferred Foot,Primary Position,Secondary Position,Guardian Name,Guardian Phone,Email
P0001,Saad,Al Otaibi,2/11/2014,Saudi,167,52,Left,Defender,Defender,Abu Nasser,001-254-322-4331x2204,jmlmhn@hotmail.com
P0002,Talal,Al Mutairi,11/24/2010,Saudi,145,52,Right,Defender,Goalkeeper,Abu Saad,001-180-354-9323x734,lhkyrwjdy@yahoo.com
P0003,Abdullah,Al Qahtani,1/12/2011,Saudi,164,69,Left,Goalkeeper,Goalkeeper,Abu Nasser,704-667-8664x69039,khlyllshy@hotmail.com
P0004,Mohammed,Al Subaie,3/10/2015,Saudi,170,72,Right,Defender,Forward,Abu Faisal,-2703,xal-tf@hotmail.com
P0005,Abdullah,Al Zahrani,5/9/2010,Saudi,167,39,Right,Defender,Midfielder,Abu Faisal,+1-566-740-1869x8105,smh99@yahoo.com
P0006,Bandar,Al Qahtani,8/6/2012,Saudi,169,75,Right,Goalkeeper,Forward,Abu Faisal,104-262-0634x5083,hlymfsyl@al.com
P0007,Bandar,Al Qahtani,6/16/2014,Saudi,149,66,Left,Goalkeeper,Forward,Abu Bandar,001-228-625-6653x723,mrbw-dwwd@al.com
P0008,Bandar,Al Saud,7/19/2014,Saudi,154,37,Left,Forward,Goalkeeper,Abu Talal,001-405-352-5914,zshrbtly@bw.net
P0009,Khalid,Al Saud,12/28/2011,Saudi,178,41,Left,Midfielder,Midfielder,Abu Khalid,+1-276-307-5706x6922,musfmhn@al.com
P0010,Nasser,Al Subaie,9/23/2011,Saudi,161,47,Right,Defender,Goalkeeper,Abu Omar,001-299-914-2826x743,mzhrlmshwl@gmail.com
P0011,Abdullah,Al Shammari,9/30/2013,Saudi,176,68,Right,Midfielder,Goalkeeper,Abu Saad,001-275-146-7885x856,btsmlqyl@gmail.com
P0012,Bandar,Al Dossari,12/3/2011,Saudi,176,51,Right,Forward,Forward,Abu Khalid,001-427-277-1550x6829,ydal-mhmd-bn-ly-bn-jmz@lkhrfy-lqyl.com
P0013,Philip,Wright,7/25/2009,Macedonia,169,58,Right,Forward,Defender,Tristan Ross,+1-214-284-1886x092,ial-khdyr@yahoo.com
P0014,Faisal,Al Dossari,2/21/2013,Saudi,179,42,Left,Forward,Forward,Abu Abdullah,887-199-9124x61479,rsmy51@hotmail.com
P0015,Khalid,Al Harbi,3/31/2011,Saudi,140,65,Left,Goalkeeper,Midfielder,Abu Abdullah,318.047.5044x54368,thjr@hotmail.com
P0016,Khalid,Al Qahtani,12/2/2012,Saudi,157,66,Left,Goalkeeper,Goalkeeper,Abu Faisal,41222555,wdy39@hotmail.com
P0017,Talal,Al Zahrani,5/9/2014,Saudi,153,62,Right,Forward,Defender,Abu Faisal,830-001-6787,rlhjr@hotmail.com
P0018,Faisal,Al Shammari,4/13/2014,Saudi,169,55,Left,Forward,Goalkeeper,Abu Khalid,589.935.1071x2087,slymn24@gmail.com
P0019,Bandar,Al Qahtani,8/9/2013,Saudi,150,64,Right,Forward,Midfielder,Abu Abdullah,866.653.0652x37576,bhrfsyl@lrshd-al.com
P0020,Mohammed,Al Zahrani,8/2/2011,Saudi,146,69,Left,Forward,Midfielder,Abu Turki,761-211-0805x18639,bn-ldnhjr@yahoo.com
P0021,Nasser,Al Harbi,5/6/2010,Saudi,160,45,Left,Forward,Defender,Abu Faisal,275-941-4457x073,dlhkyr@lmshwl-al.com
P0022,Talal,Al Harbi,7/6/2010,Saudi,160,55,Left,Forward,Defender,Abu Khalid,(357)732-6593,mslm52@al.com
P0023,Abdullah,Al Harbi,6/21/2012,Saudi,159,75,Right,Midfielder,Midfielder,Abu Omar,(357)239-7816,frwqal-khdyr@al.com
P0024,Turki,Al Harbi,1/2/2012,Saudi,155,40,Left,Defender,Defender,Abu Abdullah,5432208686,munyral-ly@al.com
P0025,Faisal,Al Shammari,9/21/2011,Saudi,145,60,Left,Goalkeeper,Midfielder,Abu Nasser,(962)535-4774x9537,shdyal-yd@gmail.com
P0026,Faisal,Al Subaie,5/4/2011,Saudi,143,42,Right,Defender,Goalkeeper,Abu Bandar,(930)927-0727x141,alal-myd@bw.org
P0027,Faisal,Al Qahtani,12/9/2014,Saudi,146,53,Right,Defender,Midfielder,Abu Omar,+1-265-254-2188x957,zhy75@hotmail.com
P0028,Omar,Al Zahrani,12/18/2013,Saudi,159,60,Right,Goalkeeper,Forward,Abu Faisal,730.980.2010,smr57@al.org
P0029,Faisal,Al Shehri,2/5/2010,Saudi,180,46,Left,Forward,Midfielder,Abu Faisal,687-267-2673x415,pal-yd@lkhrfy-bw.com
P0030,Jon,Stokes,12/20/2014,Reunion,145,48,Left,Goalkeeper,Defender,Joshua Alexander,1823736608,al-bn-lfylwjyn@hotmail.com
P0031,Khalid,Al Subaie,12/31/2012,Saudi,167,54,Left,Defender,Midfielder,Abu Turki,650.574.5965x7825,hym25@b.com
P0032,Nasser,Al Harbi,8/12/2009,Saudi,171,49,Right,Defender,Midfielder,Abu Faisal,549.419.1098,ldbglbyb@hotmail.com
P0033,Daniel,Henry,6/29/2014,Haiti,168,62,Right,Forward,Midfielder,Cory Hoffman,(982)593-8676x7326,lal-myd@ldbg.com
P0034,Khalid,Al Otaibi,7/15/2013,Saudi,148,47,Right,Forward,Goalkeeper,Abu Turki,+1-033-748-3707x2036,mwywd98@lmhydb-bw.com
P0035,Faisal,Al Harbi,5/4/2014,Saudi,177,75,Left,Forward,Forward,Abu Abdullah,548-732-7402x05607,lhkyrkml@gmail.com
P0036,Omar,Al Zahrani,5/16/2009,Saudi,179,46,Left,Midfielder,Defender,Abu Faisal,838-277-8590x87496,llyntj-ldwyn@hotmail.com
P0037,Nasser,Al Saud,11/26/2014,Saudi,151,42,Right,Goalkeeper,Goalkeeper,Abu Omar,411.088.4248x25592,mhnnfdh@gmail.com
P0038,Bandar,Al Shammari,2/15/2012,Saudi,160,73,Left,Midfielder,Forward,Abu Nasser,(683)564-9560,mrsl93@yahoo.com
P0039,Martin,Rodriguez,6/25/2014,Italy,149,68,Right,Goalkeeper,Midfielder,Michael Nichols,889-946-6730x18856,almhydb@yahoo.com
P0040,Bandar,Al Shehri,3/2/2015,Saudi,175,36,Right,Defender,Defender,Abu Khalid,8338438106,tmh24@ljbr.com
P0041,Omar,Al Zahrani,8/8/2011,Saudi,159,47,Right,Defender,Midfielder,Abu Nasser,001-437-974-8142x8942,mal-bn-zfr@b.net
P0042,Nasser,Al Otaibi,9/17/2013,Saudi,163,59,Left,Goalkeeper,Midfielder,Abu Saad,076-409-9202,yal-bn-zfr@al.com
P0043,Turki,Al Harbi,2/15/2014,Saudi,142,73,Right,Defender,Goalkeeper,Abu Faisal,+1-657-885-1183x25479,tmym77@gmail.com
P0044,Nasser,Al Subaie,9/26/2009,Saudi,166,44,Right,Defender,Midfielder,Abu Bandar,973.995.4796,kal-mqt@hnbwly.info
P0045,Nathan,Juarez,8/19/2014,Papua New Guinea,160,52,Left,Goalkeeper,Forward,Michael Perez,220.745.3693x3115,llyndyldwyn@hotmail.com
P0046,Nasser,Al Mutairi,2/28/2014,Saudi,171,56,Left,Forward,Goalkeeper,Abu Abdullah,001-434-744-9020x7916,tyllmhydb@gmail.com
P0047,Bandar,Al Zahrani,1/1/2011,Saudi,161,60,Left,Goalkeeper,Forward,Abu Omar,001-315-608-1353,rshyd74@hotmail.com
P0048,Javier,Mason,1/4/2011,Chad,140,48,Left,Forward,Goalkeeper,Luis Miller,548-700-5819x1022,rftal-ly@yahoo.com
P0049,Mohammed,Al Harbi,6/10/2009,Saudi,148,46,Left,Midfielder,Midfielder,Abu Saad,5316652169,lrshdryf@hjr-b.com
P0050,Faisal,Al Saud,12/23/2013,Saudi,152,39,Left,Midfielder,Midfielder,Abu Bandar,(854)868-6469x377,whydal-sltn@lkhrfy.com
P0051,Khalid,Al Otaibi,9/9/2009,Saudi,147,65,Right,Goalkeeper,Midfielder,Abu Khalid,-10771,lwlyhnbwly@yahoo.com
P0052,Omar,Al Subaie,10/29/2014,Saudi,143,68,Right,Defender,Defender,Abu Talal,3988971840,kf38@hotmail.com
P0053,Abdullah,Al Qahtani,10/11/2010,Saudi,177,43,Right,Midfielder,Forward,Abu Omar,055.892.0716x387,nwrsllyn@yahoo.com
P0054,Saad,Al Dossari,12/6/2011,Saudi,146,59,Left,Midfielder,Forward,Abu Omar,+1-227-118-4966x43199,mhyyldwyn02@al.info
P0055,Mohammed,Al Mutairi,8/3/2012,Saudi,173,48,Right,Goalkeeper,Forward,Abu Saad,001-691-515-5457x405,mlqyl@bw.info
P0056,Abdullah,Al Zahrani,1/10/2013,Saudi,166,41,Right,Midfielder,Midfielder,Abu Saad,(405)349-3818x68413,bn-ldnshbyb@yahoo.com
P0057,Andrew,Torres,2/6/2011,Botswana,157,52,Left,Midfielder,Goalkeeper,Michael Hill,+1-012-260-9927x727,mrshdlqyl@gmail.com
P0058,David,Ross,11/5/2013,Ukraine,161,69,Right,Defender,Goalkeeper,Frank Fry,001-749-458-6159x63218,rb91@gmail.com
P0059,Turki,Al Subaie,4/21/2014,Saudi,152,56,Left,Midfielder,Forward,Abu Faisal,(972)930-7353x64032,hjrwjdy@ljfly-lrshd.com
P0060,Jason,Vega,9/2/2012,San Marino,177,42,Left,Defender,Goalkeeper,Larry Harrell,001-495-454-3048,al-bn-zfryn@al.com
P0061,Omar,Al Zahrani,3/5/2014,Saudi,159,50,Left,Defender,Forward,Abu Abdullah,(734)307-4316,zknw@yahoo.com
P0062,Khalid,Al Dossari,6/12/2009,Saudi,145,70,Left,Goalkeeper,Defender,Abu Talal,(920)185-4240,frwqal-tf@al.com
P0063,Omar,Al Zahrani,4/16/2011,Saudi,179,75,Right,Midfielder,Forward,Abu Khalid,3177328488,lyal-bn-lfy@bw.com
P0064,Nasser,Al Dossari,12/15/2011,Saudi,169,39,Left,Forward,Goalkeeper,Abu Turki,920.387.1826x7511,mkwy21@shrbtly-hnbwly.net
P0065,Mohammed,Al Saud,1/31/2010,Saudi,165,36,Left,Defender,Midfielder,Abu Turki,(472)624-3620x65260,al-lyshhm@yahoo.com
P0066,Mohammed,Al Mutairi,5/19/2014,Saudi,159,56,Left,Midfielder,Goalkeeper,Abu Faisal,001-853-213-1772x7352,khld68@yahoo.com
P0067,Talal,Al Shammari,8/17/2013,Saudi,140,73,Left,Midfielder,Goalkeeper,Abu Talal,001-071-513-5217,ldbgfrj@gmail.com
P0068,Bandar,Al Harbi,8/17/2011,Saudi,159,46,Right,Defender,Goalkeeper,Abu Turki,245-968-7587x952,lfyfal-swd@gmail.com
P0069,Omar,Al Subaie,5/30/2009,Saudi,172,63,Right,Goalkeeper,Forward,Abu Khalid,249-265-3564x856,nal-bn-lfy@al.net
P0070,Khalid,Al Dossari,6/4/2013,Saudi,175,58,Right,Defender,Defender,Abu Turki,+1-974-910-5468x373,ilkhrfy@llyn-lmgwl.com
P0071,Talal,Al Saud,10/20/2013,Saudi,152,65,Right,Defender,Goalkeeper,Abu Saad,290.876.4411,dly58@bqshn.com
P0072,Faisal,Al Mutairi,1/10/2011,Saudi,162,72,Left,Goalkeeper,Defender,Abu Turki,001-070-492-7434x200,qknw@yahoo.com
P0073,Bandar,Al Shehri,4/29/2011,Saudi,168,62,Right,Goalkeeper,Defender,Abu Khalid,041-451-9091x67832,lm-ldwynbw-dwwd@gmail.com
P0074,Nasser,Al Saud,11/15/2011,Saudi,178,60,Left,Midfielder,Forward,Abu Nasser,690.937.3234x67472,vlhjr@hotmail.com
P0075,Khalid,Al Saud,2/21/2010,Saudi,150,46,Left,Midfielder,Defender,Abu Omar,109.034.0416,lmhn@lhkyr.com
